Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:18:00:58.387	 36.18708337	 23.90062039
2009:270:18:01:31.187	 36.21606580	 23.91977060
2009:270:18:02:03.987	 36.24481116	 23.93891479
2009:270:18:02:36.787	 36.27332504	 23.95805241
2009:270:18:03:09.587	 36.30161283	 23.97718295
2009:270:18:03:42.387	 36.32967981	 23.99630588
2009:270:18:04:15.187	 36.35753111	 24.01542072
2009:270:18:04:47.987	 36.38517173	 24.03452699
2009:270:18:05:20.787	 36.41260654	 24.05362420
2009:270:18:05:53.587	 36.43984028	 24.07271191
2009:270:18:06:26.387	 36.46687754	 24.09178968
2009:270:18:06:59.187	 36.49372284	 24.11085707
2009:270:18:07:31.987	 36.52038053	 24.12991367
2009:270:18:08:04.787	 36.54685488	 24.14895908
2009:270:18:08:37.587	 36.57315002	 24.16799289
2009:270:18:09:10.387	 36.59927000	 24.18701473
2009:270:18:09:43.187	 36.62521874	 24.20602424
2009:270:18:10:15.987	 36.65100007	 24.22502104
2009:270:18:10:48.787	 36.67661772	 24.24400478
2009:270:18:11:21.587	 36.70207530	 24.26297514
2009:270:18:11:54.387	 36.72737636	 24.28193178
2009:270:18:12:27.187	 36.75252432	 24.30087438
2009:270:18:12:59.987	 36.77752255	 24.31980263
2009:270:18:13:32.787	 36.80237429	 24.33871623
2009:270:18:14:05.587	 36.82708272	 24.35761489
2009:270:18:14:38.387	 36.85165093	 24.37649833
2009:270:18:15:11.187	 36.87608194	 24.39536626
2009:270:18:15:43.987	 36.90037866	 24.41421844
2009:270:18:16:16.787	 36.92454388	 24.43305457
2009:270:18:16:49.587	 36.94858000	 24.45187438
2009:270:18:17:22.387	 36.97249021	 24.47067766
2009:270:18:17:55.187	 36.99627713	 24.48946419
2009:270:18:18:27.987	 37.01994333	 24.50823374
2009:270:18:19:00.787	 37.04349131	 24.52698608
2009:270:18:19:33.587	 37.06692349	 24.54572101
2009:270:18:20:06.387	 37.09024226	 24.56443830
2009:270:18:20:39.187	 37.11344990	 24.58313778
2009:270:18:21:11.987	 37.13654868	 24.60181922
2009:270:18:21:44.787	 37.15954077	 24.62048246
2009:270:18:22:17.587	 37.18242831	 24.63912731
2009:270:18:22:50.387	 37.20521337	 24.65775358
2009:270:18:23:23.187	 37.22789797	 24.67636111
2009:270:18:23:55.987	 37.25048408	 24.69494973
2009:270:18:24:28.787	 37.27297361	 24.71351929
2009:270:18:25:01.587	 37.29536844	 24.73206961
2009:270:18:25:34.387	 37.31767037	 24.75060057
2009:270:18:26:07.187	 37.33988118	 24.76911200
2009:270:18:26:39.987	 37.36200260	 24.78760377
2009:270:18:27:12.787	 37.38403629	 24.80607574
2009:270:18:27:45.587	 37.40598390	 24.82452779
2009:270:18:28:18.387	 37.42784702	 24.84295978
2009:270:18:28:51.187	 37.44962720	 24.86137159
2009:270:18:29:23.987	 37.47132595	 24.87976310
2009:270:18:29:56.787	 37.49294475	 24.89813421
2009:270:18:30:29.587	 37.51448502	 24.91648479
2009:270:18:31:02.387	 37.53594817	 24.93481474
2009:270:18:31:35.187	 37.55733555	 24.95312396
2009:270:18:32:07.987	 37.57864850	 24.97141234
