tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:272:12:26:34.637	2009:272:12:31:24.637	12000	-99616	6	6	1	1	129.00	148.03
2009:272:12:31:24.637	2009:272:12:36:14.637	12000	-99616	6	6	1	1	129.00	148.62
2009:272:12:36:14.637	2009:272:12:41:04.637	12000	-99616	6	6	1	1	129.00	149.17
2009:272:12:41:04.637	2009:272:12:43:52.000	12000	-99616	6	6	1	1	129.00	149.57
2009:272:12:43:52.000	2009:272:12:43:52.715	12000	-99616	6	6	1	0	118.00	149.57
2009:272:12:43:52.715	2009:272:12:45:54.637	12000	72440	6	6	1	0	118.00	149.57
2009:272:12:45:54.637	2009:272:12:46:52.715	12000	72440	6	6	1	0	118.00	149.72
2009:272:12:46:52.715	2009:272:12:46:56.715	12000	72440	6	6	1	0	118.00	149.72
2009:272:12:46:56.715	2009:272:12:47:00.715	12000	72440	6	6	1	0	118.00	149.72
2009:272:12:47:00.715	2009:272:12:47:24.715	12000	72440	0	0	1	0	40.00	149.72
2009:272:12:47:24.715	2009:272:12:48:31.715	12000	72440	6	6	1	0	118.00	149.72
2009:272:12:48:31.715	2009:272:12:49:35.027	12000	72440	6	6	1	1	129.00	149.72
2009:272:12:49:35.027	2009:272:15:09:35.027	12000	72440	6	6	1	1	129.00	149.74
2009:272:15:09:35.027	2009:272:17:29:35.027	12000	72440	6	6	1	1	129.00	149.65
2009:272:17:29:35.027	2009:272:19:49:35.027	12000	72440	6	6	1	1	129.00	149.56
2009:272:19:49:35.027	2009:272:22:09:35.027	12000	72440	6	6	1	1	129.00	149.46
2009:272:22:09:35.027	2009:273:00:29:35.027	12000	72440	6	6	1	1	129.00	149.37
2009:273:00:29:35.027	2009:273:02:49:35.027	12000	72440	6	6	1	1	129.00	149.28
2009:273:02:49:35.027	2009:273:05:09:35.027	12000	72440	6	6	1	1	129.00	149.19
2009:273:05:09:35.027	2009:273:07:29:35.027	12000	72440	6	6	1	1	129.00	149.09
2009:273:07:29:35.027	2009:273:09:41:30.715	12000	72440	6	6	1	1	129.00	149.00
2009:273:09:41:30.715	2009:273:09:41:40.966	12000	72440	6	6	1	0	118.00	149.00
2009:273:09:41:40.966	2009:273:09:44:30.715	12000	72440	6	6	1	0	118.00	148.92
2009:273:09:44:30.715	2009:273:09:46:40.966	56797	72440	6	6	1	0	118.00	148.92
2009:273:09:46:40.966	2009:273:09:51:40.966	56797	72440	6	6	1	0	118.00	148.92
2009:273:09:51:40.966	2009:273:09:56:40.966	56797	72440	6	6	1	0	118.00	149.07
2009:273:09:56:40.966	2009:273:10:01:40.966	56797	72440	6	6	1	0	118.00	149.58
2009:273:10:01:40.966	2009:273:10:06:40.966	56797	72440	6	6	1	0	118.00	150.37
2009:273:10:06:40.966	2009:273:10:11:40.966	56797	72440	6	6	1	0	118.00	151.34
2009:273:10:11:40.966	2009:273:10:16:40.966	56797	72440	6	6	1	0	118.00	152.36
2009:273:10:16:40.966	2009:273:10:21:40.966	56797	72440	6	6	1	0	118.00	153.26
2009:273:10:21:40.966	2009:273:10:26:40.966	56797	72440	6	6	1	0	118.00	153.87
2009:273:10:26:40.966	2009:273:10:30:02.542	56797	72440	6	6	1	0	118.00	154.06
2009:273:10:30:02.542	2009:273:10:34:32.290	56797	72440	6	6	1	0	118.00	154.08
2009:273:10:34:32.290	2009:273:10:34:42.541	09929	75624	6	6	1	0	118.00	154.08
2009:273:10:34:42.541	2009:273:10:39:02.541	09929	75624	6	6	1	0	118.00	154.09
2009:273:10:39:02.541	2009:273:10:39:22.890	09929	75624	6	6	1	0	118.00	150.85
2009:273:10:39:22.890	2009:273:10:39:26.890	09929	75624	6	6	1	0	118.00	150.85
2009:273:10:39:26.890	2009:273:10:39:30.890	09929	75624	6	6	1	0	118.00	150.85
2009:273:10:39:30.890	2009:273:10:39:54.890	09929	75624	0	0	1	0	40.00	150.85
2009:273:10:39:54.890	2009:273:10:41:01.890	09929	75624	1	1	1	0	58.30	150.85
2009:273:10:41:01.890	2009:273:10:43:22.541	09929	75624	1	1	1	1	57.00	150.85
2009:273:10:43:22.541	2009:273:10:47:42.541	09929	75624	1	1	1	1	57.00	139.44
2009:273:10:47:42.541	2009:273:10:52:02.541	09929	75624	1	1	1	1	57.00	122.87
2009:273:10:52:02.541	2009:273:10:55:31.334	09929	75624	1	1	1	1	57.00	113.09
2009:273:10:55:31.334	2009:273:13:05:31.334	09929	75624	1	1	1	1	57.00	111.13
2009:273:13:05:31.334	2009:273:15:09:51.077	09929	75624	1	1	1	1	57.00	111.22
2009:273:15:09:51.077	2009:273:15:10:01.328	09929	74424	1	1	1	0	58.30	111.22
2009:273:15:10:01.328	2009:273:15:12:51.077	09929	74424	1	1	1	0	58.30	111.30
2009:273:15:12:51.077	2009:273:15:15:01.328	09967	74424	1	1	1	0	58.30	111.30
2009:273:15:15:01.328	2009:273:15:17:41.677	09967	74424	1	1	1	0	58.30	109.03
2009:273:15:17:41.677	2009:273:15:17:45.677	09967	74424	1	1	1	0	58.30	109.03
2009:273:15:17:45.677	2009:273:15:17:49.677	09967	74424	1	1	1	0	58.30	109.03
2009:273:15:17:49.677	2009:273:15:18:13.677	09967	74424	0	0	1	0	40.00	109.03
2009:273:15:18:13.677	2009:273:15:19:20.677	09967	74424	6	6	1	0	118.00	109.03
2009:273:15:19:20.677	2009:273:15:20:01.328	09967	74424	6	6	1	1	129.00	109.03
2009:273:15:20:01.328	2009:273:15:25:01.328	09967	74424	6	6	1	1	129.00	100.56
2009:273:15:25:01.328	2009:273:15:30:01.328	09967	74424	6	6	1	1	129.00	87.63
2009:273:15:30:01.328	2009:273:15:35:01.328	09967	74424	6	6	1	1	129.00	75.21
2009:273:15:35:01.328	2009:273:15:38:52.519	09967	74424	6	6	1	1	129.00	68.39
2009:273:15:38:52.519	2009:273:17:33:52.519	09967	74424	6	6	1	1	129.00	67.16
2009:273:17:33:52.519	2009:273:19:28:52.519	09967	74424	6	6	1	1	129.00	67.20
2009:273:19:28:52.519	2009:273:21:16:32.263	09967	74424	6	6	1	1	129.00	67.24
2009:273:21:16:32.263	2009:273:21:16:42.514	09967	75624	6	6	1	0	118.00	67.24
2009:273:21:16:42.514	2009:273:21:19:32.263	09967	75624	6	6	1	0	118.00	67.27
2009:273:21:19:32.263	2009:273:21:19:36.263	11804	75624	6	6	1	0	118.00	67.27
2009:273:21:19:36.263	2009:273:21:19:40.263	11804	75624	6	6	1	0	118.00	67.27
2009:273:21:19:40.263	2009:273:21:20:04.263	11804	75624	0	0	1	0	40.00	67.27
2009:273:21:20:04.263	2009:273:21:21:11.263	11804	75624	5	5	1	0	112.30	67.27
