tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:310:06:58:47.114	2008:310:08:53:47.114	57527	-99616	6	6	0	0	96.60	155.14
2008:310:08:53:47.114	2008:310:10:35:23.454	57527	-99616	6	6	0	0	96.60	155.14
2008:310:10:35:23.454	2008:310:10:35:33.705	57526	-99616	6	6	0	0	96.60	155.14
2008:310:10:35:33.705	2008:310:10:39:23.705	57526	-99616	6	6	0	0	96.60	155.14
2008:310:10:39:23.705	2008:310:10:43:13.705	57526	-99616	6	6	0	0	96.60	155.19
2008:310:10:43:13.705	2008:310:10:47:03.705	57526	-99616	6	6	0	0	96.60	155.36
2008:310:10:47:03.705	2008:310:10:50:24.623	57526	-99616	6	6	0	0	96.60	155.50
2008:310:10:50:24.623	2008:310:12:50:24.623	57526	-99616	6	6	0	0	96.60	155.53
2008:310:12:50:24.623	2008:310:13:54:44.366	57526	-99616	6	6	0	0	96.60	155.56
2008:310:13:54:44.366	2008:310:13:54:48.366	57526	-99616	6	6	0	0	96.60	155.56
2008:310:13:54:48.366	2008:310:13:54:52.366	57526	-99616	6	6	0	0	96.60	155.56
2008:310:13:54:52.366	2008:310:13:55:16.366	57526	-99616	0	0	1	0	40.00	155.56
2008:310:13:55:16.366	2008:310:13:56:23.366	57526	-99616	6	6	1	0	118.00	155.56
2008:310:13:56:23.366	2008:310:14:50:24.623	57526	-99616	6	6	1	1	129.00	155.56
2008:310:14:50:24.623	2008:310:16:38:24.366	57526	-99616	6	6	1	1	129.00	155.59
2008:310:16:38:24.366	2008:310:16:41:24.366	57526	-99616	6	6	1	0	118.00	155.59
2008:310:16:41:24.366	2008:310:16:41:34.617	10765	74424	6	6	1	0	118.00	155.59
2008:310:16:41:34.617	2008:310:16:46:04.617	10765	74424	6	6	1	0	118.00	155.62
2008:310:16:46:04.617	2008:310:16:46:14.966	10765	74424	6	6	1	0	118.00	152.01
2008:310:16:46:14.966	2008:310:16:46:18.966	10765	74424	6	6	1	0	118.00	152.01
2008:310:16:46:18.966	2008:310:16:46:22.966	10765	74424	6	6	1	0	118.00	152.01
2008:310:16:46:22.966	2008:310:16:46:46.966	10765	74424	0	0	1	0	40.00	152.01
2008:310:16:46:46.966	2008:310:16:47:53.966	10765	74424	6	6	1	0	118.00	152.01
2008:310:16:47:53.966	2008:310:16:50:34.617	10765	74424	6	6	1	1	129.00	152.01
2008:310:16:50:34.617	2008:310:16:55:04.617	10765	74424	6	6	1	1	129.00	139.37
2008:310:16:55:04.617	2008:310:16:59:34.617	10765	74424	6	6	1	1	129.00	119.67
2008:310:16:59:34.617	2008:310:17:04:04.617	10765	74424	6	6	1	1	129.00	99.45
2008:310:17:04:04.617	2008:310:17:08:34.617	10765	74424	6	6	1	1	129.00	80.02
2008:310:17:08:34.617	2008:310:17:12:43.775	10765	74424	6	6	1	1	129.00	68.09
2008:310:17:12:43.775	2008:310:19:07:43.775	10765	74424	6	6	1	1	129.00	65.08
2008:310:19:07:43.775	2008:310:21:02:43.775	10765	74424	6	6	1	1	129.00	65.10
2008:310:21:02:43.775	2008:310:22:42:03.520	10765	74424	6	6	1	1	129.00	65.12
2008:310:22:42:03.520	2008:310:22:42:13.771	10765	92904	6	6	1	0	118.00	65.12
2008:310:22:42:13.771	2008:310:22:45:03.520	10765	92904	6	6	1	0	118.00	65.14
2008:310:22:45:03.520	2008:310:22:47:13.771	10798	92904	6	6	1	0	118.00	65.14
2008:310:22:47:13.771	2008:310:22:49:54.120	10798	92904	6	6	1	0	118.00	69.50
2008:310:22:49:54.120	2008:310:22:49:58.120	10798	92904	6	6	1	0	118.00	69.50
2008:310:22:49:58.120	2008:310:22:50:02.120	10798	92904	6	6	1	0	118.00	69.50
2008:310:22:50:02.120	2008:310:22:50:26.120	10798	92904	0	0	1	0	40.00	69.50
2008:310:22:50:26.120	2008:310:22:51:33.120	10798	92904	5	5	1	0	112.30	69.50
2008:310:22:51:33.120	2008:310:22:52:13.771	10798	92904	5	5	1	1	113.90	69.50
2008:310:22:52:13.771	2008:310:22:57:13.771	10798	92904	5	5	1	1	113.90	84.61
2008:310:22:57:13.771	2008:310:23:02:13.771	10798	92904	5	5	1	1	113.90	106.31
2008:310:23:02:13.771	2008:310:23:07:13.771	10798	92904	5	5	1	1	113.90	127.54
2008:310:23:07:13.771	2008:310:23:11:10.363	10798	92904	5	5	1	1	113.90	140.38
2008:310:23:11:10.363	2008:311:01:21:10.363	10798	92904	5	5	1	1	113.90	142.93
2008:311:01:21:10.363	2008:311:03:31:10.363	10798	92904	5	5	1	1	113.90	142.92
2008:311:03:31:10.363	2008:311:05:41:10.363	10798	92904	5	5	1	1	113.90	142.91
