tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:366:05:07:49.913	2008:366:05:12:49.913	10847	92905	5	5	1	1	113.90	113.53
2008:366:05:12:49.913	2008:366:05:17:27.587	10847	92905	5	5	1	1	113.90	98.70
2008:366:05:17:27.587	2008:366:07:12:27.587	10847	92905	5	5	1	1	113.90	94.87
2008:366:07:12:27.587	2008:366:09:07:27.587	10847	92905	5	5	1	1	113.90	94.91
2008:366:09:07:27.587	2008:366:10:46:17.582	10847	92905	5	5	1	1	113.90	94.95
2008:366:10:46:17.582	2008:366:10:49:17.582	10847	75620	5	5	1	0	112.30	94.99
2008:366:10:49:17.582	2008:366:10:49:21.582	10346	75620	5	5	1	0	112.30	94.99
2008:366:10:49:21.582	2008:366:10:49:25.582	10346	75620	5	5	1	0	112.30	94.99
2008:366:10:49:25.582	2008:366:10:49:49.582	10346	75620	0	0	1	0	40.00	94.99
2008:366:10:49:49.582	2008:366:10:50:47.582	10346	75620	6	6	1	0	118.00	94.99
2008:366:10:50:47.582	2008:366:10:50:56.582	10346	75620	6	6	1	0	118.00	96.61
2008:366:10:50:56.582	2008:366:10:55:17.582	10346	75620	6	6	1	1	129.00	96.61
2008:366:10:55:17.582	2008:366:10:59:47.582	10346	75620	6	6	1	1	129.00	102.70
2008:366:10:59:47.582	2008:366:11:04:17.582	10346	75620	6	6	1	1	129.00	113.17
2008:366:11:04:17.582	2008:366:11:08:47.582	10346	75620	6	6	1	1	129.00	124.45
2008:366:11:08:47.582	2008:366:11:13:17.582	10346	75620	6	6	1	1	129.00	134.69
2008:366:11:13:17.582	2008:366:11:16:59.712	10346	75620	6	6	1	1	129.00	139.99
2008:366:11:16:59.712	2008:366:13:36:59.712	10346	75620	6	6	1	1	129.00	141.01
2008:366:13:36:59.712	2008:366:15:48:09.708	10346	75620	6	6	1	1	129.00	141.11
2008:366:15:48:09.708	2008:366:15:51:09.708	10346	75620	6	6	1	0	118.00	141.19
2008:366:15:51:09.708	2008:366:15:51:13.708	10371	75620	6	6	1	0	118.00	141.19
2008:366:15:51:13.708	2008:366:15:51:17.708	10371	75620	6	6	1	0	118.00	141.19
2008:366:15:51:17.708	2008:366:15:51:41.708	10371	75620	0	0	1	0	40.00	141.19
