Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:22:40:31.041	 31.02259939	 16.51719687
2008:363:22:41:03.841	 31.04035696	 16.50688042
2008:363:22:41:36.641	 31.05752923	 16.49666036
2008:363:22:42:09.441	 31.07413035	 16.48653464
2008:363:22:42:42.241	 31.09017415	 16.47650123
2008:363:22:43:15.041	 31.10567413	 16.46655819
2008:363:22:43:47.841	 31.12040745	 16.45685916
2008:363:22:44:20.641	 31.12158970	 16.45607028
2008:363:22:44:53.441	 31.13599140	 16.44643898
2008:363:22:45:26.241	 31.14989001	 16.43689188
2008:363:22:45:59.041	 31.16329785	 16.42742720
2008:363:22:46:31.841	 31.17622690	 16.41804318
2008:363:22:47:04.641	 31.18868889	 16.40873812
2008:363:22:47:37.441	 31.20069524	 16.39951035
2008:363:22:48:10.241	 31.21225711	 16.39035824
2008:363:22:48:43.041	 31.22338539	 16.38128022
2008:363:22:49:15.841	 31.23409072	 16.37227473
2008:363:22:49:48.641	 31.24438346	 16.36334025
2008:363:22:50:21.441	 31.25427375	 16.35447531
2008:363:22:50:54.241	 31.26377145	 16.34567846
2008:363:22:51:27.041	 31.27288623	 16.33694830
2008:363:22:51:59.841	 31.28162749	 16.32828346
2008:363:22:52:32.641	 31.29000442	 16.31968258
2008:363:22:53:05.441	 31.29802599	 16.31114437
2008:363:22:53:38.241	 31.30570095	 16.30266754
2008:363:22:54:11.041	 31.31303784	 16.29425084
2008:363:22:54:43.841	 31.32004500	 16.28589305
2008:363:22:55:16.641	 31.32673057	 16.27759299
2008:363:22:55:49.441	 31.33310249	 16.26934949
2008:363:22:56:22.241	 31.33916851	 16.26116141
2008:363:22:56:55.041	 31.34493619	 16.25302765
2008:363:22:57:27.841	 31.35041293	 16.24494713
2008:363:22:58:00.641	 31.35560591	 16.23691878
2008:363:22:58:33.441	 31.36052219	 16.22894159
2008:363:22:59:06.241	 31.36516862	 16.22101453
2008:363:22:59:39.041	 31.36955191	 16.21313664
2008:363:23:00:11.841	 31.37367858	 16.20530694
2008:363:23:00:44.641	 31.37755503	 16.19752450
2008:363:23:01:17.441	 31.38118749	 16.18978841
2008:363:23:01:50.241	 31.38458202	 16.18209778
2008:363:23:02:23.041	 31.38774457	 16.17445172
2008:363:23:02:55.841	 31.39068092	 16.16684939
2008:363:23:03:28.641	 31.39339673	 16.15928996
2008:363:23:04:01.441	 31.39589751	 16.15177261
2008:363:23:04:34.241	 31.39818864	 16.14429656
2008:363:23:05:07.041	 31.40027539	 16.13686102
2008:363:23:05:39.841	 31.40216287	 16.12946524
2008:363:23:06:12.641	 31.40385609	 16.12210848
2008:363:23:06:45.441	 31.40535994	 16.11479003
2008:363:23:07:18.241	 31.40667918	 16.10750917
2008:363:23:07:51.041	 31.40781847	 16.10026522
2008:363:23:08:23.841	 31.40878234	 16.09305751
2008:363:23:08:56.641	 31.40957523	 16.08588538
2008:363:23:09:29.441	 31.41020146	 16.07874820
2008:363:23:10:02.241	 31.41066525	 16.07164533
2008:363:23:10:35.041	 31.41097072	 16.06457616
2008:363:23:11:07.841	 31.41112190	 16.05754011
2008:363:23:11:40.641	 31.41112270	 16.05053658
2008:363:23:12:13.441	 31.41097696	 16.04356502
2008:363:23:12:46.241	 31.41068841	 16.03662485
2008:363:23:13:19.041	 31.41026070	 16.02971555
2008:363:23:13:51.841	 31.40969739	 16.02283658
2008:363:23:14:24.641	 31.40900196	 16.01598742
2008:363:23:14:57.441	 31.40817779	 16.00916757
2008:363:23:15:30.241	 31.40722819	 16.00237653
2008:363:23:16:03.041	 31.40615640	 15.99561383
2008:363:23:16:35.841	 31.40496556	 15.98887898
2008:363:23:17:08.641	 31.40365875	 15.98217154
2008:363:23:17:41.441	 31.40223898	 15.97549106
2008:363:23:18:14.241	 31.40070916	 15.96883708
