tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:005:05:24:43.692	2009:005:05:29:13.692	57402	-99616	6	6	0	0	96.60	155.17
2009:005:05:29:13.692	2009:005:05:33:43.692	57402	-99616	6	6	0	0	96.60	155.19
2009:005:05:33:43.692	2009:005:05:38:13.692	57402	-99616	6	6	0	0	96.60	155.21
2009:005:05:38:13.692	2009:005:05:42:43.692	57402	-99616	6	6	0	0	96.60	155.23
2009:005:05:42:43.692	2009:005:05:46:34.685	57402	-99616	6	6	0	0	96.60	155.24
2009:005:05:46:34.685	2009:005:06:50:54.431	57402	-99616	6	6	0	0	96.60	155.24
2009:005:06:50:54.431	2009:005:06:51:04.682	57401	-99616	6	6	0	0	96.60	155.24
2009:005:06:51:04.682	2009:005:06:55:34.682	57401	-99616	6	6	0	0	96.60	155.23
2009:005:06:55:34.682	2009:005:07:00:04.682	57401	-99616	6	6	0	0	96.60	155.22
2009:005:07:00:04.682	2009:005:07:04:34.682	57401	-99616	6	6	0	0	96.60	155.20
2009:005:07:04:34.682	2009:005:07:09:04.682	57401	-99616	6	6	0	0	96.60	155.17
2009:005:07:09:04.682	2009:005:07:13:34.682	57401	-99616	6	6	0	0	96.60	155.13
2009:005:07:13:34.682	2009:005:07:18:04.682	57401	-99616	6	6	0	0	96.60	155.11
2009:005:07:18:04.682	2009:005:07:22:34.682	57401	-99616	6	6	0	0	96.60	155.09
2009:005:07:22:34.682	2009:005:07:26:24.067	57401	-99616	6	6	0	0	96.60	155.08
2009:005:07:26:24.067	2009:005:08:41:26.915	57401	-99616	6	6	0	0	96.60	155.08
2009:005:08:41:26.915	2009:005:08:41:37.166	57400	-99616	6	6	0	0	96.60	155.08
2009:005:08:41:37.166	2009:005:08:46:17.166	57400	-99616	6	6	0	0	96.60	155.04
2009:005:08:46:17.166	2009:005:08:50:57.166	57400	-99616	6	6	0	0	96.60	155.05
2009:005:08:50:57.166	2009:005:08:55:37.166	57400	-99616	6	6	0	0	96.60	155.12
2009:005:08:55:37.166	2009:005:09:00:17.166	57400	-99616	6	6	0	0	96.60	155.27
2009:005:09:00:17.166	2009:005:09:04:57.166	57400	-99616	6	6	0	0	96.60	155.44
2009:005:09:04:57.166	2009:005:09:09:37.166	57400	-99616	6	6	0	0	96.60	155.61
2009:005:09:09:37.166	2009:005:09:14:17.166	57400	-99616	6	6	0	0	96.60	155.76
2009:005:09:14:17.166	2009:005:09:18:09.478	57400	-99616	6	6	0	0	96.60	155.83
2009:005:09:18:09.478	2009:005:09:22:29.224	57400	-99616	6	6	0	0	96.60	155.85
2009:005:09:22:29.224	2009:005:09:22:33.224	57400	-99616	6	6	0	0	96.60	155.85
2009:005:09:22:33.224	2009:005:09:22:37.224	57400	-99616	6	6	0	0	96.60	155.85
2009:005:09:22:37.224	2009:005:09:23:01.224	57400	-99616	0	0	1	0	40.00	155.85
2009:005:09:23:01.224	2009:005:09:24:04.224	57400	-99616	6	6	1	0	118.00	155.85
2009:005:09:24:04.224	2009:005:10:48:09.478	57400	-99616	6	6	1	1	129.00	155.85
2009:005:10:48:09.478	2009:005:12:06:09.224	57400	-99616	6	6	1	1	129.00	155.84
2009:005:12:06:09.224	2009:005:12:09:09.224	57400	-99616	6	6	1	0	118.00	155.84
2009:005:12:09:09.224	2009:005:12:09:19.475	10130	-99616	6	6	1	0	118.00	155.84
2009:005:12:09:19.475	2009:005:12:09:34.224	10130	-99616	6	6	1	0	118.00	155.83
2009:005:12:09:34.224	2009:005:12:12:09.224	10130	75624	6	6	1	0	118.00	155.83
2009:005:12:12:09.224	2009:005:12:12:13.224	10130	75624	6	6	1	0	118.00	155.83
2009:005:12:12:13.224	2009:005:12:12:17.224	10130	75624	6	6	1	0	118.00	155.83
2009:005:12:12:17.224	2009:005:12:12:41.224	10130	75624	0	0	1	0	40.00	155.83
2009:005:12:12:41.224	2009:005:12:13:48.224	10130	75624	1	1	1	0	58.30	155.83
2009:005:12:13:48.224	2009:005:12:13:49.475	10130	75624	1	1	1	1	57.00	155.83
2009:005:12:13:49.475	2009:005:12:18:19.475	10130	75624	1	1	1	1	57.00	152.22
2009:005:12:18:19.475	2009:005:12:22:49.475	10130	75624	1	1	1	1	57.00	139.60
2009:005:12:22:49.475	2009:005:12:27:19.475	10130	75624	1	1	1	1	57.00	119.93
2009:005:12:27:19.475	2009:005:12:31:49.475	10130	75624	1	1	1	1	57.00	100.73
2009:005:12:31:49.475	2009:005:12:35:43.638	10130	75624	1	1	1	1	57.00	89.32
2009:005:12:35:43.638	2009:005:14:30:43.638	10130	75624	1	1	1	1	57.00	86.70
2009:005:14:30:43.638	2009:005:16:25:43.638	10130	75624	1	1	1	1	57.00	86.70
2009:005:16:25:43.638	2009:005:18:13:23.382	10130	75624	1	1	1	1	57.00	86.70
2009:005:18:13:23.382	2009:005:18:13:33.633	10130	75624	1	1	1	0	58.30	86.70
2009:005:18:13:33.633	2009:005:18:16:23.382	10130	75624	1	1	1	0	58.30	86.70
2009:005:18:16:23.382	2009:005:18:18:33.633	10839	75624	1	1	1	0	58.30	86.70
2009:005:18:18:33.633	2009:005:18:21:13.982	10839	75624	1	1	1	0	58.30	90.88
2009:005:18:21:13.982	2009:005:18:21:17.982	10839	75624	1	1	1	0	58.30	90.88
2009:005:18:21:17.982	2009:005:18:21:21.982	10839	75624	1	1	1	0	58.30	90.88
2009:005:18:21:21.982	2009:005:18:21:45.982	10839	75624	0	0	1	0	40.00	90.88
2009:005:18:21:45.982	2009:005:18:22:52.982	10839	75624	6	6	1	0	118.00	90.88
2009:005:18:22:52.982	2009:005:18:23:33.633	10839	75624	6	6	1	1	129.00	90.88
