Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:22:40:41.292	 30.77056413	 16.32154342
2008:363:22:41:14.092	 30.79017405	 16.31385887
2008:363:22:41:46.892	 30.80912971	 16.30625197
2008:363:22:42:19.692	 30.82744861	 16.29872085
2008:363:22:42:52.492	 30.84514776	 16.29126371
2008:363:22:43:25.292	 30.86224373	 16.28387878
2008:363:22:43:58.092	 30.87849237	 16.27667981
2008:363:22:44:30.892	 30.87979618	 16.27609642
2008:363:22:45:03.692	 30.89567883	 16.26897432
2008:363:22:45:36.492	 30.91100783	 16.26191895
2008:363:22:46:09.292	 30.92579813	 16.25492871
2008:363:22:46:42.092	 30.94006426	 16.24800207
2008:363:22:47:14.892	 30.95382037	 16.24113751
2008:363:22:47:47.692	 30.96708023	 16.23433357
2008:363:22:48:20.492	 30.97985724	 16.22758881
2008:363:22:48:53.292	 30.99216445	 16.22090185
2008:363:22:49:26.092	 31.00401455	 16.21427133
2008:363:22:49:58.892	 31.01541991	 16.20769594
2008:363:22:50:31.692	 31.02639257	 16.20117438
2008:363:22:51:04.492	 31.03694423	 16.19470541
2008:363:22:51:37.292	 31.04708628	 16.18828782
2008:363:22:52:10.092	 31.05682984	 16.18192041
2008:363:22:52:42.892	 31.06618569	 16.17560204
2008:363:22:53:15.692	 31.07516435	 16.16933158
2008:363:22:53:48.492	 31.08377605	 16.16310794
2008:363:22:54:21.292	 31.09203075	 16.15693006
2008:363:22:54:54.092	 31.09993815	 16.15079689
2008:363:22:55:26.892	 31.10750768	 16.14470743
2008:363:22:55:59.692	 31.11474852	 16.13866069
2008:363:22:56:32.492	 31.12166962	 16.13265573
2008:363:22:57:05.292	 31.12827968	 16.12669160
2008:363:22:57:38.092	 31.13458716	 16.12076740
2008:363:22:58:10.892	 31.14060031	 16.11488225
2008:363:22:58:43.692	 31.14632716	 16.10903528
2008:363:22:59:16.492	 31.15177552	 16.10322567
2008:363:22:59:49.292	 31.15695298	 16.09745259
2008:363:23:00:22.092	 31.16186695	 16.09171525
2008:363:23:00:54.892	 31.16652464	 16.08601287
2008:363:23:01:27.692	 31.17093304	 16.08034472
2008:363:23:02:00.492	 31.17509899	 16.07471004
2008:363:23:02:33.292	 31.17902912	 16.06910813
2008:363:23:03:06.092	 31.18272991	 16.06353830
2008:363:23:03:38.892	 31.18620764	 16.05799986
2008:363:23:04:11.692	 31.18946843	 16.05249216
2008:363:23:04:44.492	 31.19251826	 16.04701455
2008:363:23:05:17.292	 31.19536292	 16.04156642
2008:363:23:05:50.092	 31.19800806	 16.03614715
2008:363:23:06:22.892	 31.20045918	 16.03075615
2008:363:23:06:55.692	 31.20272162	 16.02539284
2008:363:23:07:28.492	 31.20480060	 16.02005666
2008:363:23:08:01.292	 31.20670119	 16.01474706
2008:363:23:08:34.092	 31.20842831	 16.00946351
2008:363:23:09:06.892	 31.20998677	 16.00420550
2008:363:23:09:39.692	 31.21138125	 15.99897251
2008:363:23:10:12.492	 31.21261629	 15.99376405
2008:363:23:10:45.292	 31.21369632	 15.98857965
2008:363:23:11:18.092	 31.21462566	 15.98341883
2008:363:23:11:50.892	 31.21540849	 15.97828114
2008:363:23:12:23.692	 31.21604890	 15.97316615
2008:363:23:12:56.492	 31.21655087	 15.96807341
2008:363:23:13:29.292	 31.21691826	 15.96300250
2008:363:23:14:02.092	 31.21715484	 15.95795303
2008:363:23:14:34.892	 31.21726427	 15.95292458
2008:363:23:15:07.692	 31.21725012	 15.94791677
2008:363:23:15:40.492	 31.21711585	 15.94292923
2008:363:23:16:13.292	 31.21686486	 15.93796158
2008:363:23:16:46.092	 31.21650042	 15.93301346
2008:363:23:17:18.892	 31.21602574	 15.92808453
2008:363:23:17:51.692	 31.21544393	 15.92317444
2008:363:23:18:24.492	 31.21475803	 15.91828287
2008:363:23:18:57.292	 31.21397098	 15.91340948
2008:363:23:19:30.092	 31.21308566	 15.90855398
2008:363:23:20:02.892	 31.21210487	 15.90371603
