tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:275:22:32:35.296	2009:275:22:37:25.296	10405	72438	6	6	1	1	129.00	141.55
2009:275:22:37:25.296	2009:275:22:42:15.296	10405	72438	6	6	1	1	129.00	142.53
2009:275:22:42:15.296	2009:275:22:47:05.296	10405	72438	6	6	1	1	129.00	143.69
2009:275:22:47:05.296	2009:275:22:51:55.296	10405	72438	6	6	1	1	129.00	144.88
2009:275:22:51:55.296	2009:275:22:56:45.296	10405	72438	6	6	1	1	129.00	145.89
2009:275:22:56:45.296	2009:275:23:01:02.940	10405	72438	6	6	1	1	129.00	146.38
2009:275:23:01:02.940	2009:276:01:21:02.940	10405	72438	6	6	1	1	129.00	146.48
2009:276:01:21:02.940	2009:276:03:41:02.940	10405	72438	6	6	1	1	129.00	146.38
2009:276:03:41:02.940	2009:276:06:01:02.940	10405	72438	6	6	1	1	129.00	146.29
2009:276:06:01:02.940	2009:276:08:21:02.940	10405	72438	6	6	1	1	129.00	146.20
2009:276:08:21:02.940	2009:276:10:41:02.940	10405	72438	6	6	1	1	129.00	146.11
2009:276:10:41:02.940	2009:276:13:01:02.940	10405	72438	6	6	1	1	129.00	146.01
2009:276:13:01:02.940	2009:276:15:21:02.940	10405	72438	6	6	1	1	129.00	145.92
2009:276:15:21:02.940	2009:276:17:41:02.940	10405	72438	6	6	1	1	129.00	145.83
2009:276:17:41:02.940	2009:276:20:01:02.940	10405	72438	6	6	1	1	129.00	145.73
2009:276:20:01:02.940	2009:276:22:13:08.936	10405	72438	6	6	1	1	129.00	145.64
2009:276:22:13:08.936	2009:276:22:16:08.936	10405	75620	6	6	1	0	118.00	145.55
2009:276:22:16:08.936	2009:276:22:17:58.936	10357	75620	6	6	1	0	118.00	145.55
2009:276:22:17:58.936	2009:276:22:20:59.536	10357	75620	6	6	1	0	118.00	142.36
2009:276:22:20:59.536	2009:276:22:21:03.536	10357	75620	6	6	1	0	118.00	142.36
2009:276:22:21:03.536	2009:276:22:21:07.536	10357	75620	6	6	1	0	118.00	142.36
2009:276:22:21:07.536	2009:276:22:21:31.536	10357	75620	0	0	1	0	40.00	142.36
2009:276:22:21:31.536	2009:276:22:22:38.536	10357	75620	6	6	1	0	118.00	142.36
2009:276:22:22:38.536	2009:276:22:22:48.936	10357	75620	6	6	1	1	129.00	142.36
2009:276:22:22:48.936	2009:276:22:27:38.936	10357	75620	6	6	1	1	129.00	130.54
2009:276:22:27:38.936	2009:276:22:32:28.936	10357	75620	6	6	1	1	129.00	112.14
2009:276:22:32:28.936	2009:276:22:37:18.936	10357	75620	6	6	1	1	129.00	93.40
2009:276:22:37:18.936	2009:276:22:42:08.936	10357	75620	6	6	1	1	129.00	75.47
2009:276:22:42:08.936	2009:276:22:46:38.772	10357	75620	6	6	1	1	129.00	64.47
2009:276:22:46:38.772	2009:277:01:04:28.768	10357	75620	6	6	1	1	129.00	61.77
2009:277:01:04:28.768	2009:277:01:07:28.768	10357	92905	6	6	1	0	118.00	61.74
2009:277:01:07:28.768	2009:277:01:07:32.768	10273	92905	6	6	1	0	118.00	61.74
2009:277:01:07:32.768	2009:277:01:07:36.768	10273	92905	6	6	1	0	118.00	61.74
2009:277:01:07:36.768	2009:277:01:07:58.768	10273	92905	0	0	1	0	40.00	61.74
2009:277:01:07:58.768	2009:277:01:08:00.768	10273	92905	0	0	1	0	40.00	63.60
2009:277:01:08:00.768	2009:277:01:09:07.768	10273	92905	6	6	1	0	118.00	63.60
2009:277:01:09:07.768	2009:277:01:11:28.768	10273	92905	6	6	1	1	129.00	63.60
2009:277:01:11:28.768	2009:277:01:14:24.723	10273	92905	6	6	1	1	129.00	68.58
2009:277:01:14:24.723	2009:277:03:34:24.723	10273	92905	6	6	1	1	129.00	69.80
2009:277:03:34:24.723	2009:277:05:44:00.162	10273	92905	6	6	1	1	129.00	69.78
2009:277:05:44:00.162	2009:277:05:46:00.372	10273	-99612	6	6	1	0	118.00	69.78
2009:277:05:46:00.372	2009:277:05:47:00.162	10273	-99612	6	6	1	0	118.00	69.75
2009:277:05:47:00.162	2009:277:05:50:00.372	56791	-99612	6	6	1	0	118.00	69.75
2009:277:05:50:00.372	2009:277:05:50:00.377	56791	-99612	6	6	1	0	118.00	69.75
2009:277:05:50:00.377	2009:277:05:50:04.372	56791	-99612	6	6	1	0	118.00	69.75
2009:277:05:50:04.372	2009:277:05:50:08.372	56791	-99612	6	6	1	0	118.00	69.75
2009:277:05:50:08.372	2009:277:05:50:32.372	56791	-99612	0	0	1	0	40.00	69.75
2009:277:05:50:32.372	2009:277:05:51:39.372	56791	-99612	6	6	1	0	118.00	69.75
2009:277:05:51:39.372	2009:277:05:54:30.372	56791	-99612	6	6	1	1	129.00	69.75
2009:277:05:54:30.372	2009:277:05:58:50.372	56790	-99612	6	6	1	1	129.00	69.75
2009:277:05:58:50.372	2009:277:06:03:10.372	56790	-99612	6	6	1	1	129.00	73.06
2009:277:06:03:10.372	2009:277:06:07:30.372	56790	-99612	6	6	1	1	129.00	84.73
2009:277:06:07:30.372	2009:277:06:11:50.372	56790	-99612	6	6	1	1	129.00	103.41
2009:277:06:11:50.372	2009:277:06:16:10.372	56790	-99612	6	6	1	1	129.00	122.87
2009:277:06:16:10.372	2009:277:06:20:30.372	56790	-99612	6	6	1	1	129.00	141.19
2009:277:06:20:30.372	2009:277:06:24:26.479	56790	-99612	6	6	1	1	129.00	152.09
2009:277:06:24:26.479	2009:277:06:43:41.892	56790	-99612	6	6	1	1	129.00	154.75
2009:277:06:43:41.892	2009:277:06:48:21.892	56789	-99612	6	6	1	1	129.00	154.75
2009:277:06:48:21.892	2009:277:06:53:01.892	56789	-99612	6	6	1	1	129.00	154.59
2009:277:06:53:01.892	2009:277:06:57:41.892	56789	-99612	6	6	1	1	129.00	153.84
2009:277:06:57:41.892	2009:277:07:02:21.892	56789	-99612	6	6	1	1	129.00	152.20
2009:277:07:02:21.892	2009:277:07:07:01.892	56789	-99612	6	6	1	1	129.00	150.17
2009:277:07:07:01.892	2009:277:07:11:41.892	56789	-99612	6	6	1	1	129.00	148.09
2009:277:07:11:41.892	2009:277:07:16:21.892	56789	-99612	6	6	1	1	129.00	146.21
2009:277:07:16:21.892	2009:277:07:21:01.892	56789	-99612	6	6	1	1	129.00	144.77
2009:277:07:21:01.892	2009:277:07:21:01.892	56789	-99612	6	6	1	1	129.00	144.11
