time         date                  1pdeaat 1pin1at
342016496.36 2008:307:12:33:51.173 42.89   30.38  
342016529.16 2008:307:12:34:23.973 42.87   30.36  
342016561.96 2008:307:12:34:56.773 42.85   30.35  
342016594.76 2008:307:12:35:29.573 42.83   30.33  
342016627.56 2008:307:12:36:02.373 42.80   30.31  
342016660.36 2008:307:12:36:35.173 42.78   30.30  
342016693.16 2008:307:12:37:07.973 42.76   30.28  
342016725.96 2008:307:12:37:40.773 42.74   30.27  
342016758.76 2008:307:12:38:13.573 42.72   30.25  
342016791.56 2008:307:12:38:46.373 42.70   30.23  
342016824.36 2008:307:12:39:19.173 42.68   30.22  
342016857.16 2008:307:12:39:51.973 42.66   30.20  
342016889.96 2008:307:12:40:24.773 42.64   30.19  
342016922.76 2008:307:12:40:57.573 42.62   30.17  
342016955.56 2008:307:12:41:30.373 42.60   30.15  
342016988.36 2008:307:12:42:03.173 42.58   30.14  
342017021.16 2008:307:12:42:35.973 42.56   30.12  
342017053.96 2008:307:12:43:08.773 42.54   30.11  
342017086.76 2008:307:12:43:41.573 42.52   30.09  
342017119.56 2008:307:12:44:14.373 42.50   30.08  
342017152.36 2008:307:12:44:47.173 42.48   30.06  
342017185.16 2008:307:12:45:19.973 42.46   30.04  
342017217.96 2008:307:12:45:52.773 42.44   30.03  
342017250.76 2008:307:12:46:25.573 42.42   30.01  
342017283.56 2008:307:12:46:58.373 42.40   30.00  
342017316.36 2008:307:12:47:31.173 42.38   29.98  
342017349.16 2008:307:12:48:03.973 42.36   29.97  
342017381.96 2008:307:12:48:36.773 42.34   29.95  
342017414.76 2008:307:12:49:09.573 42.33   29.94  
342017447.56 2008:307:12:49:42.373 42.31   29.92  
342017480.36 2008:307:12:50:15.173 42.29   29.90  
342017513.16 2008:307:12:50:47.973 42.27   29.89  
342017545.96 2008:307:12:51:20.773 42.25   29.87  
342017578.76 2008:307:12:51:53.573 42.23   29.86  
342017611.56 2008:307:12:52:26.373 42.21   29.84  
342017644.36 2008:307:12:52:59.173 42.19   29.83  
342017677.16 2008:307:12:53:31.973 42.18   29.81  
342017709.96 2008:307:12:54:04.773 42.16   29.80  
342017742.76 2008:307:12:54:37.573 42.14   29.78  
342017775.56 2008:307:12:55:10.373 42.12   29.77  
342017808.36 2008:307:12:55:43.173 42.10   29.75  
342017841.16 2008:307:12:56:15.973 42.08   29.73  
342017873.96 2008:307:12:56:48.773 42.07   29.72  
342017906.76 2008:307:12:57:21.573 42.05   29.70  
342017939.56 2008:307:12:57:54.373 42.03   29.69  
342017972.36 2008:307:12:58:27.173 42.01   29.67  
342018005.16 2008:307:12:58:59.973 41.99   29.66  
342018037.96 2008:307:12:59:32.773 41.98   29.64  
342018070.76 2008:307:13:00:05.573 41.96   29.63  
342018103.56 2008:307:13:00:38.373 41.94   29.61  
342018136.36 2008:307:13:01:11.173 41.92   29.60  
342018169.16 2008:307:13:01:43.973 41.91   29.58  
342018201.96 2008:307:13:02:16.773 41.89   29.57  
342018234.76 2008:307:13:02:49.573 41.87   29.55  
342018267.56 2008:307:13:03:22.373 41.85   29.54  
342018300.36 2008:307:13:03:55.173 41.84   29.52  
342018333.16 2008:307:13:04:27.973 41.82   29.51  
342018365.96 2008:307:13:05:00.773 41.80   29.49  
342018398.76 2008:307:13:05:33.573 41.78   29.48  
342018431.56 2008:307:13:06:06.373 41.77   29.46  
342018464.36 2008:307:13:06:39.173 41.75   29.45  
342018497.16 2008:307:13:07:11.973 41.73   29.43  
342018529.96 2008:307:13:07:44.773 41.71   29.41  
342018562.76 2008:307:13:08:17.573 41.70   29.40  
342018595.56 2008:307:13:08:50.373 41.68   29.38  
342018628.36 2008:307:13:09:23.173 41.66   29.37  
342018661.16 2008:307:13:09:55.973 41.65   29.35  
342018693.96 2008:307:13:10:28.773 41.63   29.34  
342018726.76 2008:307:13:11:01.573 41.61   29.32  
342018759.56 2008:307:13:11:34.373 41.60   29.31  
342018792.36 2008:307:13:12:07.173 41.58   29.29  
342018825.16 2008:307:13:12:39.973 41.56   29.28  
342018857.96 2008:307:13:13:12.773 41.55   29.26  
342018890.76 2008:307:13:13:45.573 41.53   29.24  
342018923.56 2008:307:13:14:18.373 41.51   29.23  
342018956.36 2008:307:13:14:51.173 41.50   29.21  
342018989.16 2008:307:13:15:23.973 41.48   29.20  
342019021.96 2008:307:13:15:56.773 41.46   29.18  
342019054.76 2008:307:13:16:29.573 41.45   29.16  
342019087.56 2008:307:13:17:02.373 41.43   29.15  
342019120.36 2008:307:13:17:35.173 41.41   29.13  
342019153.16 2008:307:13:18:07.973 41.40   29.12  
342019185.96 2008:307:13:18:40.773 41.38   29.10  
342019218.76 2008:307:13:19:13.573 41.36   29.08  
342019251.56 2008:307:13:19:46.373 41.35   29.07  
342019284.36 2008:307:13:20:19.173 41.33   29.05  
342019317.16 2008:307:13:20:51.973 41.31   29.04  
342019349.96 2008:307:13:21:24.773 41.30   29.02  
342019382.76 2008:307:13:21:57.573 41.28   29.00  
342019415.56 2008:307:13:22:30.373 41.26   28.99  
342019448.36 2008:307:13:23:03.173 41.25   28.97  
342019481.16 2008:307:13:23:35.973 41.23   28.95  
342019513.96 2008:307:13:24:08.773 41.21   28.94  
342019546.76 2008:307:13:24:41.573 41.20   28.92  
342019579.56 2008:307:13:25:14.373 41.18   28.90  
342019612.36 2008:307:13:25:47.173 41.16   28.89  
342019645.16 2008:307:13:26:19.973 41.15   28.87  
342019677.96 2008:307:13:26:52.773 41.13   28.86  
342019710.76 2008:307:13:27:25.573 41.11   28.84  
342019743.56 2008:307:13:27:58.373 41.10   28.82  
342019776.36 2008:307:13:28:31.173 41.08   28.81  
342019809.16 2008:307:13:29:03.973 41.06   28.79  
342019841.96 2008:307:13:29:36.773 41.05   28.77  
342019874.76 2008:307:13:30:09.573 41.03   28.76  
342019907.56 2008:307:13:30:42.373 41.01   28.74  
342019940.36 2008:307:13:31:15.173 41.00   28.72  
342019973.16 2008:307:13:31:47.973 40.98   28.71  
342020005.96 2008:307:13:32:20.773 40.96   28.69  
342020038.76 2008:307:13:32:53.573 40.95   28.67  
342020071.56 2008:307:13:33:26.373 40.93   28.66  
342020104.36 2008:307:13:33:59.173 40.92   28.64  
342020137.16 2008:307:13:34:31.973 40.90   28.62  
342020169.96 2008:307:13:35:04.773 40.88   28.61  
342020202.76 2008:307:13:35:37.573 40.87   28.59  
342020235.56 2008:307:13:36:10.373 40.85   28.58  
342020268.36 2008:307:13:36:43.173 40.83   28.56  
342020301.16 2008:307:13:37:15.973 40.82   28.54  
342020333.96 2008:307:13:37:48.773 40.80   28.53  
342020366.76 2008:307:13:38:21.573 40.78   28.51  
