Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:362:00:34:07.851	 23.11824299	 11.45800880
2009:362:00:34:40.651	 23.11271612	 11.45596535
2009:362:00:35:13.451	 23.10727315	 11.45391675
2009:362:00:35:46.251	 23.10191192	 11.45186323
2009:362:00:36:19.051	 23.09663037	 11.44980500
2009:362:00:36:51.851	 23.09142644	 11.44774227
2009:362:00:37:24.651	 23.08629818	 11.44567524
2009:362:00:37:57.451	 23.08124364	 11.44360411
2009:362:00:38:30.251	 23.07626097	 11.44152907
2009:362:00:39:03.051	 23.07134833	 11.43945031
2009:362:00:39:35.851	 23.06650395	 11.43736801
2009:362:00:40:08.651	 23.06172610	 11.43528234
2009:362:00:40:41.451	 23.05701310	 11.43319348
2009:362:00:41:14.251	 23.05236331	 11.43110160
2009:362:00:41:47.051	 23.04777513	 11.42900685
2009:362:00:42:19.851	 23.04324703	 11.42690940
2009:362:00:42:52.651	 23.03877747	 11.42480940
2009:362:00:43:25.451	 23.03436500	 11.42270700
2009:362:00:43:58.251	 23.03000817	 11.42060234
2009:362:00:44:31.051	 23.02570561	 11.41849557
2009:362:00:45:03.851	 23.02145594	 11.41638682
2009:362:00:45:36.651	 23.01725785	 11.41427624
2009:362:00:46:09.451	 23.01311005	 11.41216393
2009:362:00:46:42.251	 23.00901130	 11.41005005
2009:362:00:47:15.051	 23.00496036	 11.40793470
2009:362:00:47:47.851	 23.00095606	 11.40581801
2009:362:00:48:20.651	 22.99699725	 11.40370009
2009:362:00:48:53.451	 22.99308279	 11.40158106
2009:362:00:49:26.251	 22.98921159	 11.39946103
2009:362:00:49:59.051	 22.98538258	 11.39734010
2009:362:00:50:31.851	 22.98159474	 11.39521838
2009:362:00:51:04.651	 22.97784704	 11.39309597
2009:362:00:51:37.451	 22.97413851	 11.39097297
2009:362:00:52:10.251	 22.97046819	 11.38884947
2009:362:00:52:43.051	 22.96683515	 11.38672557
2009:362:00:53:15.851	 22.96323847	 11.38460136
2009:362:00:53:48.651	 22.95967729	 11.38247692
2009:362:00:54:21.451	 22.95615073	 11.38035234
2009:362:00:54:54.251	 22.95265796	 11.37822771
2009:362:00:55:27.051	 22.94919816	 11.37610310
2009:362:00:55:59.851	 22.94577055	 11.37397860
2009:362:00:56:32.651	 22.94237435	 11.37185428
2009:362:00:57:05.451	 22.93900880	 11.36973020
2009:362:00:57:38.251	 22.93567319	 11.36760646
2009:362:00:58:11.051	 22.93236678	 11.36548311
2009:362:00:58:43.851	 22.92908890	 11.36336023
2009:362:00:59:16.651	 22.92583886	 11.36123787
2009:362:00:59:49.451	 22.92261601	 11.35911611
2009:362:01:00:22.251	 22.91941970	 11.35699501
2009:362:01:00:55.051	 22.91624932	 11.35487463
2009:362:01:01:27.851	 22.91310426	 11.35275502
2009:362:01:02:00.651	 22.90998392	 11.35063625
2009:362:01:02:33.451	 22.90688773	 11.34851836
2009:362:01:03:06.251	 22.90381513	 11.34640142
2009:362:01:03:39.051	 22.90076558	 11.34428548
2009:362:01:04:11.851	 22.89773854	 11.34217058
2009:362:01:04:44.651	 22.89473350	 11.34005679
2009:362:01:05:17.451	 22.89174996	 11.33794413
2009:362:01:05:50.251	 22.88878742	 11.33583267
2009:362:01:06:23.051	 22.88584541	 11.33372245
2009:362:01:06:55.851	 22.88292346	 11.33161350
2009:362:01:07:28.651	 22.88002113	 11.32950588
2009:362:01:08:01.451	 22.87713796	 11.32739963
2009:362:01:08:34.251	 22.87427354	 11.32529478
2009:362:01:09:07.051	 22.87142744	 11.32319138
2009:362:01:09:39.851	 22.86859926	 11.32108946
2009:362:01:10:12.651	 22.86578861	 11.31898906
2009:362:01:10:45.451	 22.86299509	 11.31689022
2009:362:01:11:18.251	 22.86021833	 11.31479297
2009:362:01:11:51.051	 22.85745798	 11.31269734
2009:362:01:12:23.851	 22.85471366	 11.31060337
2009:362:01:12:56.651	 22.85198504	 11.30851109
2009:362:01:13:29.451	 22.84927178	 11.30642053
2009:362:01:14:02.251	 22.84657354	 11.30433171
2009:362:01:14:35.051	 22.84389002	 11.30224468
2009:362:01:15:07.851	 22.84122089	 11.30015945
2009:362:01:15:40.651	 22.83856587	 11.29807606
