tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2009:363:10:31:35.873	2009:363:10:31:39.873	11016	75624	6	6	1	0	118.00	154.24
2009:363:10:31:39.873	2009:363:10:32:03.873	11016	75624	0	0	1	0	40.00	154.24
2009:363:10:32:03.873	2009:363:10:33:10.873	11016	75624	6	6	1	0	118.00	154.24
2009:363:10:33:10.873	2009:363:10:33:32.124	11016	75624	6	6	1	1	129.00	154.24
2009:363:10:33:32.124	2009:363:10:38:22.124	11016	75624	6	6	1	1	129.00	153.60
2009:363:10:38:22.124	2009:363:10:42:40.173	11016	75624	6	6	1	1	129.00	151.67
2009:363:10:42:40.173	2009:363:13:07:40.173	11016	75624	6	6	1	1	129.00	151.06
2009:363:13:07:40.173	2009:363:15:32:40.173	11016	75624	6	6	1	1	129.00	150.96
2009:363:15:32:40.173	2009:363:17:57:40.173	11016	75624	6	6	1	1	129.00	150.86
2009:363:17:57:40.173	2009:363:20:22:40.173	11016	75624	6	6	1	1	129.00	150.76
2009:363:20:22:40.173	2009:363:22:47:40.173	11016	75624	6	6	1	1	129.00	150.66
2009:363:22:47:40.173	2009:364:01:12:40.173	11016	75624	6	6	1	1	129.00	150.55
2009:364:01:12:40.173	2009:364:03:37:40.173	11016	75624	6	6	1	1	129.00	150.45
2009:364:03:37:40.173	2009:364:05:18:02.873	11016	75624	6	6	1	1	129.00	150.35
2009:364:05:18:02.873	2009:364:05:18:13.124	11016	75624	6	6	1	0	118.00	150.35
2009:364:05:18:13.124	2009:364:05:21:02.873	11016	75624	6	6	1	0	118.00	150.28
2009:364:05:21:02.873	2009:364:05:21:06.873	11354	75624	6	6	1	0	118.00	150.28
2009:364:05:21:06.873	2009:364:05:21:10.873	11354	75624	6	6	1	0	118.00	150.28
2009:364:05:21:10.873	2009:364:05:21:34.873	11354	75624	0	0	1	0	40.00	150.28
2009:364:05:21:34.873	2009:364:05:22:41.873	11354	75624	6	6	1	0	118.00	150.28
2009:364:05:22:41.873	2009:364:05:23:03.124	11354	75624	6	6	1	1	129.00	150.28
2009:364:05:23:03.124	2009:364:05:27:53.124	11354	75624	6	6	1	1	129.00	146.21
2009:364:05:27:53.124	2009:364:05:32:43.124	11354	75624	6	6	1	1	129.00	132.02
