Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:307:13:38:57.600	 40.61002630	 28.48592872
2008:307:13:39:30.400	 40.59314357	 28.46938926
2008:307:13:40:03.200	 40.57626943	 28.45287587
2008:307:13:40:36.000	 40.55940430	 28.43638847
2008:307:13:41:08.800	 40.54254859	 28.41992696
2008:307:13:41:41.600	 40.52570269	 28.40349128
2008:307:13:42:14.400	 40.50886699	 28.38708134
2008:307:13:42:47.200	 40.49204186	 28.37069705
2008:307:13:43:20.000	 40.47522766	 28.35433836
2008:307:13:43:52.800	 40.45842476	 28.33800516
2008:307:13:44:25.600	 40.44163348	 28.32169740
2008:307:13:44:58.400	 40.42485416	 28.30541500
2008:307:13:45:31.200	 40.40808713	 28.28915788
2008:307:13:46:04.000	 40.39133269	 28.27292597
2008:307:13:46:36.800	 40.37459115	 28.25671921
2008:307:13:47:09.600	 40.35786280	 28.24053751
2008:307:13:47:42.400	 40.34114793	 28.22438082
2008:307:13:48:15.200	 40.32444681	 28.20824906
2008:307:13:48:48.000	 40.30775972	 28.19214217
2008:307:13:49:20.800	 40.29108692	 28.17606007
2008:307:13:49:53.600	 40.27442864	 28.16000271
2008:307:13:50:26.400	 40.25778516	 28.14397003
2008:307:13:50:59.200	 40.24115669	 28.12796195
2008:307:13:51:32.000	 40.22454347	 28.11197841
2008:307:13:52:04.800	 40.20794572	 28.09601935
2008:307:13:52:37.600	 40.19136366	 28.08008472
2008:307:13:53:10.400	 40.17479751	 28.06417445
2008:307:13:53:43.200	 40.15824745	 28.04828847
2008:307:13:54:16.000	 40.14171370	 28.03242674
2008:307:13:54:48.800	 40.12519643	 28.01658919
2008:307:13:55:21.600	 40.10869584	 28.00077576
2008:307:13:55:54.400	 40.09221210	 27.98498640
2008:307:13:56:27.200	 40.07574539	 27.96922106
2008:307:13:56:60.000	 40.05929587	 27.95347967
2008:307:13:57:32.800	 40.04286371	 27.93776218
2008:307:13:58:05.600	 40.02644907	 27.92206854
2008:307:13:58:38.400	 40.01005209	 27.90639869
2008:307:13:59:11.200	 39.99367292	 27.89075258
2008:307:13:59:44.000	 39.97731171	 27.87513016
2008:307:14:00:16.800	 39.96096859	 27.85953137
2008:307:14:00:49.600	 39.94464369	 27.84395617
2008:307:14:01:22.400	 39.92833715	 27.82840450
2008:307:14:01:55.200	 39.91204909	 27.81287630
2008:307:14:02:28.000	 39.89577963	 27.79737154
2008:307:14:03:00.800	 39.87952888	 27.78189016
2008:307:14:03:33.600	 39.86329695	 27.76643212
2008:307:14:04:06.400	 39.84708396	 27.75099736
2008:307:14:04:39.200	 39.83089001	 27.73558583
2008:307:14:05:12.000	 39.81471520	 27.72019749
2008:307:14:05:44.800	 39.79855962	 27.70483229
2008:307:14:06:17.600	 39.78242338	 27.68949018
2008:307:14:06:50.400	 39.76630655	 27.67417113
2008:307:14:07:23.200	 39.75020923	 27.65887507
2008:307:14:07:56.000	 39.73413150	 27.64360196
2008:307:14:08:28.800	 39.71807344	 27.62835177
2008:307:14:09:01.600	 39.70203513	 27.61312444
2008:307:14:09:34.400	 39.68601664	 27.59791994
2008:307:14:10:07.200	 39.67001804	 27.58273820
2008:307:14:10:40.000	 39.65403941	 27.56757920
2008:307:14:11:12.800	 39.63808081	 27.55244289
2008:307:14:11:45.600	 39.62214230	 27.53732923
2008:307:14:12:18.400	 39.60622395	 27.52223816
2008:307:14:12:51.200	 39.59032581	 27.50716966
2008:307:14:13:24.000	 39.57444794	 27.49212367
2008:307:14:13:56.800	 39.55859039	 27.47710016
2008:307:14:14:29.600	 39.54275321	 27.46209909
2008:307:14:15:02.400	 39.52693646	 27.44712040
2008:307:14:15:35.200	 39.51114017	 27.43216407
2008:307:14:16:08.000	 39.49536441	 27.41723005
2008:307:14:16:40.800	 39.47960920	 27.40231829
2008:307:14:17:13.600	 39.46387458	 27.38742877
2008:307:14:17:46.400	 39.44816061	 27.37256144
2008:307:14:18:19.200	 39.43246731	 27.35771626
2008:307:14:18:52.000	 39.41679472	 27.34289319
2008:307:14:19:24.800	 39.40114287	 27.32809218
2008:307:14:19:57.600	 39.38551179	 27.31331322
2008:307:14:20:30.400	 39.36990152	 27.29855624
2008:307:14:21:03.200	 39.35431208	 27.28382122
2008:307:14:21:36.000	 39.33874351	 27.26910812
2008:307:14:22:08.800	 39.32319581	 27.25441689
2008:307:14:22:41.600	 39.30766902	 27.23974750
2008:307:14:23:14.400	 39.29216316	 27.22509992
2008:307:14:23:47.200	 39.27667825	 27.21047410
2008:307:14:24:20.000	 39.26121434	 27.19587003
2008:307:14:24:52.800	 39.24577145	 27.18128770
2008:307:14:25:25.600	 39.23034956	 27.16672702
2008:307:14:25:58.400	 39.21494869	 27.15218795
2008:307:14:26:31.200	 39.19956886	 27.13767047
2008:307:14:27:04.000	 39.18421007	 27.12317453
2008:307:14:27:36.800	 39.16887233	 27.10870009
2008:307:14:28:09.600	 39.15355567	 27.09424713
2008:307:14:28:42.400	 39.13826008	 27.07981560
2008:307:14:29:15.200	 39.12298558	 27.06540548
2008:307:14:29:48.000	 39.10773217	 27.05101671
2008:307:14:30:20.800	 39.09249986	 27.03664928
2008:307:14:30:53.600	 39.07728865	 27.02230314
2008:307:14:31:26.400	 39.06209855	 27.00797826
2008:307:14:31:59.200	 39.04692955	 26.99367460
2008:307:14:32:32.000	 39.03178168	 26.97939213
2008:307:14:33:04.800	 39.01665491	 26.96513082
2008:307:14:33:37.600	 39.00154927	 26.95089063
2008:307:14:34:10.400	 38.98646473	 26.93667152
2008:307:14:34:43.200	 38.97140131	 26.92247346
2008:307:14:35:16.000	 38.95635901	 26.90829642
2008:307:14:35:48.800	 38.94133781	 26.89414036
2008:307:14:36:21.600	 38.92633771	 26.88000526
2008:307:14:36:54.400	 38.91135872	 26.86589107
2008:307:14:37:27.200	 38.89640083	 26.85179776
2008:307:14:37:60.000	 38.88146402	 26.83772530
2008:307:14:38:32.800	 38.86654830	 26.82367365
2008:307:14:39:05.600	 38.85165366	 26.80964279
2008:307:14:39:38.400	 38.83678009	 26.79563268
2008:307:14:40:11.200	 38.82192758	 26.78164328
2008:307:14:40:44.000	 38.80709613	 26.76767457
2008:307:14:41:16.800	 38.79228572	 26.75372651
2008:307:14:41:49.600	 38.77749634	 26.73979906
2008:307:14:42:22.400	 38.76272798	 26.72589220
2008:307:14:42:55.200	 38.74798064	 26.71200590
2008:307:14:43:28.000	 38.73325431	 26.69814011
2008:307:14:44:00.800	 38.71854896	 26.68429482
2008:307:14:44:33.600	 38.70386458	 26.67046998
2008:307:14:45:06.400	 38.68920117	 26.65666556
2008:307:14:45:39.200	 38.67455872	 26.64288154
2008:307:14:46:12.000	 38.65993720	 26.62911788
2008:307:14:46:44.800	 38.64533660	 26.61537454
2008:307:14:47:17.600	 38.63075691	 26.60165151
2008:307:14:47:50.400	 38.61619811	 26.58794874
2008:307:14:48:23.200	 38.60166019	 26.57426620
2008:307:14:48:56.000	 38.58714313	 26.56060387
2008:307:14:49:28.800	 38.57264691	 26.54696171
2008:307:14:50:01.600	 38.55817153	 26.53333969
2008:307:14:50:34.400	 38.54371695	 26.51973778
2008:307:14:51:07.200	 38.52928317	 26.50615595
2008:307:14:51:40.000	 38.51487017	 26.49259416
2008:307:14:52:12.800	 38.50047793	 26.47905240
2008:307:14:52:45.600	 38.48610642	 26.46553061
2008:307:14:53:18.400	 38.47175564	 26.45202879
2008:307:14:53:51.200	 38.45742556	 26.43854688
2008:307:14:54:24.000	 38.44311617	 26.42508488
2008:307:14:54:56.800	 38.42882744	 26.41164273
2008:307:14:55:29.600	 38.41455935	 26.39822042
2008:307:14:56:02.400	 38.40031189	 26.38481791
2008:307:14:56:35.200	 38.38608503	 26.37143518
2008:307:14:57:08.000	 38.37187876	 26.35807218
2008:307:14:57:40.800	 38.35769305	 26.34472890
2008:307:14:58:13.600	 38.34352789	 26.33140531
2008:307:14:58:46.400	 38.32938324	 26.31810136
2008:307:14:59:19.200	 38.31525910	 26.30481704
2008:307:14:59:52.000	 38.30115543	 26.29155231
2008:307:15:00:24.800	 38.28707223	 26.27830714
2008:307:15:00:57.600	 38.27300946	 26.26508151
2008:307:15:01:30.400	 38.25896710	 26.25187538
2008:307:15:02:03.200	 38.24494513	 26.23868872
2008:307:15:02:36.000	 38.23094353	 26.22552151
2008:307:15:03:08.800	 38.21696227	 26.21237371
2008:307:15:03:41.600	 38.20300134	 26.19924530
2008:307:15:04:14.400	 38.18906071	 26.18613625
2008:307:15:04:47.200	 38.17514036	 26.17304653
2008:307:15:05:20.000	 38.16124026	 26.15997610
2008:307:15:05:52.800	 38.14736039	 26.14692494
2008:307:15:06:25.600	 38.13350072	 26.13389303
2008:307:15:06:58.400	 38.11966124	 26.12088032
2008:307:15:07:31.200	 38.10584192	 26.10788680
2008:307:15:08:04.000	 38.09204274	 26.09491243
2008:307:15:08:36.800	 38.07826367	 26.08195718
2008:307:15:09:09.600	 38.06450468	 26.06902103
2008:307:15:09:42.400	 38.05076576	 26.05610395
2008:307:15:10:15.200	 38.03704687	 26.04320591
2008:307:15:10:48.000	 38.02334800	 26.03032687
2008:307:15:11:20.800	 38.00966912	 26.01746682
2008:307:15:11:53.600	 37.99601021	 26.00462572
2008:307:15:12:26.400	 37.98237123	 25.99180355
2008:307:15:12:59.200	 37.96875218	 25.97900027
2008:307:15:13:32.000	 37.95515301	 25.96621586
2008:307:15:14:04.800	 37.94157371	 25.95345029
2008:307:15:14:37.600	 37.92801424	 25.94070354
2008:307:15:15:10.400	 37.91447460	 25.92797556
2008:307:15:15:43.200	 37.90095474	 25.91526634
2008:307:15:16:16.000	 37.88745465	 25.90257585
2008:307:15:16:48.800	 37.87397430	 25.88990406
2008:307:15:17:21.600	 37.86051366	 25.87725094
2008:307:15:17:54.400	 37.84707271	 25.86461647
2008:307:15:18:27.200	 37.83365143	 25.85200061
2008:307:15:18:60.000	 37.82024978	 25.83940334
2008:307:15:19:32.800	 37.80686775	 25.82682462
2008:307:15:20:05.600	 37.79350530	 25.81426445
2008:307:15:20:38.400	 37.78016241	 25.80172277
2008:307:15:21:11.200	 37.76683906	 25.78919958
2008:307:15:21:44.000	 37.75353521	 25.77669483
2008:307:15:22:16.800	 37.74025085	 25.76420851
2008:307:15:22:49.600	 37.72698595	 25.75174058
2008:307:15:23:22.400	 37.71374047	 25.73929102
2008:307:15:23:55.200	 37.70051441	 25.72685980
2008:307:15:24:28.000	 37.68730772	 25.71444689
2008:307:15:25:00.800	 37.67412038	 25.70205227
2008:307:15:25:33.600	 37.66095238	 25.68967591
2008:307:15:26:06.400	 37.64780367	 25.67731778
2008:307:15:26:39.200	 37.63467424	 25.66497786
2008:307:15:27:12.000	 37.62156406	 25.65265611
2008:307:15:27:44.800	 37.60847310	 25.64035251
2008:307:15:28:17.600	 37.59540134	 25.62806704
2008:307:15:28:50.400	 37.58234875	 25.61579966
2008:307:15:29:23.200	 37.56931530	 25.60355036
2008:307:15:29:56.000	 37.56100435	 25.59573945
2008:307:15:30:28.800	 37.55626186	 25.59127929
2008:307:15:31:01.600	 37.54326650	 25.57905767
2008:307:15:31:34.400	 37.53029001	 25.56685408
2008:307:15:32:07.200	 37.51733237	 25.55466848
2008:307:15:32:40.000	 37.50439355	 25.54250086
2008:307:15:33:12.800	 37.49147354	 25.53035118
2008:307:15:33:45.600	 37.47857231	 25.51821941
2008:307:15:34:18.400	 37.46568985	 25.50610553
