ccd_count clocking datestart             datestop              dec                fep_count obsid pcad_mode pitch  power_cmd  q1                 q2                q3               q4               ra              roll          si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board power 
6         0        2009:362:08:04:37.887 2009:362:08:08:56.637 -9.80000005779     6         56558 NPNT      47.87  WSVIDALLDN -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          378374744.07 378375002.82 0         96.60 
6         0        2009:362:08:08:56.637 2009:362:08:09:00.637 -9.80000005779     6         56558 NPNT      47.87  AA00000000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 clocking,power_cmd                               378375002.82 378375006.82 0         96.60 
6         0        2009:362:08:09:00.637 2009:362:08:09:04.637 -9.80000005779     6         56558 NPNT      47.87  AA00000000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 clocking,power_cmd                               378375006.82 378375010.82 0         96.60 
0         0        2009:362:08:09:04.637 2009:362:08:09:28.637 -9.80000005779     0         56558 NPNT      47.87  WSPOW00000 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 378375010.82 378375034.82 1         40.00 
6         0        2009:362:08:09:28.637 2009:362:08:10:31.637 -9.80000005779     6         56558 NPNT      47.87  WSPOW0AF3F -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_0021C -536      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 378375034.82 378375097.82 1         118.00
6         0        2009:362:08:10:31.637 2009:362:08:10:35.637 -9.80000005779     6         56558 NPNT      47.87  WSPOW0AF3F -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_008EA -536      -99616 si_mode                                          378375097.82 378375101.82 1         118.00
6         1        2009:362:08:10:35.637 2009:362:10:25:59.197 -9.80000005779     6         56558 NPNT      47.87  XTZ0000005 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_008EA -536      -99616 clocking,power_cmd                               378375101.82 378383225.38 1         129.00
6         1        2009:362:10:25:59.197 2009:362:10:26:09.448 -9.80000005779     6         56558 NMAN      47.87  XTZ0000005 -0.50697356658     0.231823500523    -0.200518419554  0.805622760355   325.500000079   292.58637732  TE_008EA -536      -99616 pcad_mode                                        378383225.38 378383235.63 1         129.00
6         1        2009:362:10:26:09.448 2009:362:10:30:52.782 -9.79999998648     6         56558 NMAN      49.78  XTZ0000005 -0.506973566       0.2318235         -0.20051842      0.80562276       325.500000054   292.586377373 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378383235.63 378383518.97 1         129.00
6         1        2009:362:10:30:52.782 2009:362:10:35:36.116 -7.92778997595     6         56558 NMAN      58.76  XTZ0000005 -0.515103130385    0.202134520057    -0.18483375961   0.812186482368   329.110379389   293.039221586 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378383518.97 378383802.30 1         129.00
6         1        2009:362:10:35:36.116 2009:362:10:40:19.450 -1.28738450821     6         56558 NMAN      76.20  XTZ0000005 -0.538323534393    0.0973671471147   -0.128737226865  0.827136105707   341.46543427    293.675499072 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378383802.30 378384085.63 1         129.00
6         1        2009:362:10:40:19.450 2009:362:10:45:02.785 8.54135456278      6         56558 NMAN      97.28  XTZ0000005 -0.558051750804    -0.0619786178614  -0.0412845173526 0.826457792597   0.0541567638485 291.93889851  TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378384085.63 378384368.97 1         129.00
6         1        2009:362:10:45:02.785 2009:362:10:49:46.119 17.3668676003      6         56558 NMAN      118.50 XTZ0000005 -0.559016638769    -0.221235715056   0.0486851263314  0.797612007433   19.9095689776   286.878689699 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378384368.97 378384652.30 1         129.00
6         1        2009:362:10:49:46.119 2009:362:10:52:36.637 23.8780201741      6         56558 NMAN      139.59 XTZ0000005 -0.540812639286    -0.372906557697   0.136985339014   0.741415811319   41.5473205164   278.611930902 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378384652.30 378384822.82 1         129.00
6         0        2009:362:10:52:36.637 2009:362:10:54:29.453 23.8780201741      6         56558 NMAN      139.59 AA00000000 -0.540812639286    -0.372906557697   0.136985339014   0.741415811319   41.5473205164   278.611930902 TE_008EA -536      -99616 clocking,power_cmd                               378384822.82 378384935.64 1         118.00
6         0        2009:362:10:54:29.453 2009:362:10:55:36.637 26.9210617741      6         56558 NMAN      157.05 AA00000000 -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    378384935.64 378385002.82 1         118.00
6         0        2009:362:10:55:36.637 2009:362:10:58:36.637 26.9210617741      6         12066 NMAN      157.05 AA00000000 -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      73176  obsid,simpos                                     378385002.82 378385182.82 1         118.00
6         0        2009:362:10:58:36.637 2009:362:10:58:40.637 26.9210617741      6         12066 NMAN      157.05 AA00000000 -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      73176  clocking,power_cmd                               378385182.82 378385186.82 1         118.00
6         0        2009:362:10:58:40.637 2009:362:10:58:44.637 26.9210617741      6         12066 NMAN      157.05 AA00000000 -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      73176  clocking,power_cmd                               378385186.82 378385190.82 1         118.00
0         0        2009:362:10:58:44.637 2009:362:10:59:08.637 26.9210617741      0         12066 NMAN      157.05 WSPOW00000 -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      73176  ccd_count,clocking,fep_count,power_cmd,vid_board 378385190.82 378385214.82 1         40.00 
6         0        2009:362:10:59:08.637 2009:362:10:59:12.787 26.9210617741      6         12066 NMAN      157.05 WSPOW3F03F -0.504641437934    -0.510129640087   0.219569731509   0.660979502249   64.5529104136   268.085323275 TE_008EA -536      73176  ccd_count,clocking,fep_count,power_cmd,vid_board 378385214.82 378385218.97 1         118.00
6         0        2009:362:10:59:12.787 2009:362:11:00:11.637 26.7291349668      6         12066 NMAN      166.03 WSPOW3F03F -0.471050163002    -0.592413295118   0.270718497811   0.594869503849   80.2329017116   260.612345835 TE_008EA -536      73176  dec,pitch,q1,q2,q3,q4,ra,roll                    378385218.97 378385277.82 1         118.00
6         0        2009:362:11:00:11.637 2009:362:11:00:19.637 26.7291349668      6         12066 NMAN      166.03 WSPOW3F03F -0.471050163002    -0.592413295118   0.270718497811   0.594869503849   80.2329017116   260.612345835 CC_00122 -536      73176  si_mode                                          378385277.82 378385285.82 1         118.00
6         1        2009:362:11:00:19.637 2009:362:11:01:09.712 26.7291349668      6         12066 NMAN      166.03 XCZ0000005 -0.471050163002    -0.592413295118   0.270718497811   0.594869503849   80.2329017116   260.612345835 CC_00122 -536      73176  clocking,power_cmd                               378385285.82 378385335.90 1         129.00
6         1        2009:362:11:01:09.712 2009:362:11:02:28.472 26.7291349668      6         12066 NMAN      166.03 XCZ0000005 -0.471050163002    -0.592413295118   0.270718497811   0.594869503849   80.2329017116   260.612345835 CC_00122 -418      73176  simfa_pos                                        378385335.90 378385414.66 1         129.00
6         1        2009:362:11:02:28.472 2009:362:11:03:56.121 26.7291349668      6         12066 NMAN      166.03 XCZ0000005 -0.471050163002    -0.592413295118   0.270718497811   0.594869503849   80.2329017116   260.612345835 CC_00122 -468      73176  simfa_pos                                        378385414.66 378385502.31 1         129.00
