ccd_count clocking datestart             datestop              dec              fep_count obsid pcad_mode pitch  power_cmd  q1                q2                q3                q4               ra             roll           si_mode  simfa_pos simpos trans_keys                                       tstart       tstop        vid_board power 
0         0        2009:270:23:50:24.472 2009:270:23:50:38.536 33.9598693758    0         11579 NMAN      49.10  WSPOW00000 -0.376806153      0.281554134       -0.866418791      0.167519764      217.286352601  312.232106527  TE_00458 -468      75624  simfa_pos                                        370482690.66 370482704.72 1         40.00 
4         0        2009:270:23:50:38.536 2009:270:23:51:41.536 33.9598693758    4         11579 NMAN      49.10  WSPOW0CC1E -0.376806153      0.281554134       -0.866418791      0.167519764      217.286352601  312.232106527  TE_00458 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 370482704.72 370482767.72 1         92.00 
4         0        2009:270:23:51:41.536 2009:270:23:51:45.536 33.9598693758    4         11579 NMAN      49.10  WSPOW0CC1E -0.376806153      0.281554134       -0.866418791      0.167519764      217.286352601  312.232106527  TE_006CC -468      75624  si_mode                                          370482767.72 370482771.72 1         92.00 
4         1        2009:270:23:51:45.536 2009:270:23:51:58.461 33.9598693758    4         11579 NMAN      49.10  XTZ0000005 -0.376806153      0.281554134       -0.866418791      0.167519764      217.286352601  312.232106527  TE_006CC -468      75624  clocking,power_cmd                               370482771.72 370482784.64 1         99.20 
4         1        2009:270:23:51:58.461 2009:270:23:56:40.135 37.4122207484    4         11579 NMAN      52.72  XTZ0000005 -0.408031814209   0.275847360435    -0.854848938112   0.163253071587   219.406111709  310.404224214  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    370482784.64 370483066.32 1         99.20 
4         1        2009:270:23:56:40.135 2009:271:19:39:28.536 40.8038743691    4         11579 NPNT      54.55  XTZ0000005 -0.438784290984   0.269820693488    -0.842287737989   0.158797058613   221.775581232  308.318135326  TE_006CC -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          370483066.32 370554034.72 1         99.20 
4         0        2009:271:19:39:28.536 2009:271:19:39:38.787 40.8038743691    4         11579 NMAN      54.55  AA00000000 -0.438784290984   0.269820693488    -0.842287737989   0.158797058613   221.775581232  308.318135326  TE_006CC -468      75624  clocking,pcad_mode,power_cmd                     370554034.72 370554044.97 1         92.00 
4         0        2009:271:19:39:38.787 2009:271:19:42:28.536 40.8038740277    4         11579 NMAN      56.80  AA00000000 -0.438784288      0.269820694       -0.842287739      0.158797059      221.775580995  308.318135536  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    370554044.97 370554214.72 1         92.00 
4         0        2009:271:19:42:28.536 2009:271:19:44:56.766 40.8038740277    4         56804 NMAN      56.80  AA00000000 -0.438784288      0.269820694       -0.842287739      0.158797059      221.775580995  308.318135536  TE_006CC -468      75624  obsid                                            370554214.72 370554362.95 1         92.00 
4         0        2009:271:19:44:56.766 2009:271:19:50:14.744 45.5256342345    4         56804 NMAN      67.54  AA00000000 -0.478003647159   0.254810926815    -0.826907204071   0.151024435957   224.7663266    306.138743597  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    370554362.95 370554680.93 1         92.00 
