Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2009:270:18:00:58.387	 35.30958492	 22.83242001
2009:270:18:01:31.187	 35.33250283	 22.85331067
2009:270:18:02:03.987	 35.35537793	 22.87417243
2009:270:18:02:36.787	 35.37821049	 22.89500528
2009:270:18:03:09.587	 35.40100082	 22.91580924
2009:270:18:03:42.387	 35.42374919	 22.93658432
2009:270:18:04:15.187	 35.44645588	 22.95733053
2009:270:18:04:47.987	 35.46912114	 22.97804788
2009:270:18:05:20.787	 35.49174526	 22.99873639
2009:270:18:05:53.587	 35.51432848	 23.01939607
2009:270:18:06:26.387	 35.53687106	 23.04002693
2009:270:18:06:59.187	 35.55937324	 23.06062899
2009:270:18:07:31.987	 35.58183528	 23.08120226
2009:270:18:08:04.787	 35.60425741	 23.10174675
2009:270:18:08:37.587	 35.62663985	 23.12226250
2009:270:18:09:10.387	 35.64898285	 23.14274950
2009:270:18:09:43.187	 35.67128663	 23.16320779
2009:270:18:10:15.987	 35.69355140	 23.18363737
2009:270:18:10:48.787	 35.71577738	 23.20403827
2009:270:18:11:21.587	 35.73796479	 23.22441050
2009:270:18:11:54.387	 35.76011383	 23.24475409
2009:270:18:12:27.187	 35.78222471	 23.26506906
2009:270:18:12:59.987	 35.80429763	 23.28535542
2009:270:18:13:32.787	 35.82633278	 23.30561320
2009:270:18:14:05.587	 35.84833036	 23.32584242
2009:270:18:14:38.387	 35.87029056	 23.34604310
2009:270:18:15:11.187	 35.89221355	 23.36621526
2009:270:18:15:43.987	 35.91409953	 23.38635893
2009:270:18:16:16.787	 35.93594865	 23.40647411
2009:270:18:16:49.587	 35.95776098	 23.42656075
2009:270:18:17:22.387	 35.97953682	 23.44661896
2009:270:18:17:55.187	 36.00127634	 23.46664877
2009:270:18:18:27.987	 36.02297971	 23.48665022
2009:270:18:19:00.787	 36.04464710	 23.50662331
2009:270:18:19:33.587	 36.06627865	 23.52656808
2009:270:18:20:06.387	 36.08787454	 23.54648456
2009:270:18:20:39.187	 36.10943491	 23.56637277
2009:270:18:21:11.987	 36.13095991	 23.58623273
2009:270:18:21:44.787	 36.15244971	 23.60606448
2009:270:18:22:17.587	 36.17390443	 23.62586804
2009:270:18:22:50.387	 36.19532424	 23.64564344
2009:270:18:23:23.187	 36.21670926	 23.66539070
2009:270:18:23:55.987	 36.23805965	 23.68510986
2009:270:18:24:28.787	 36.25937553	 23.70480094
2009:270:18:25:01.587	 36.28065705	 23.72446397
2009:270:18:25:34.387	 36.30190432	 23.74409898
2009:270:18:26:07.187	 36.32311750	 23.76370600
2009:270:18:26:39.987	 36.34429670	 23.78328505
2009:270:18:27:12.787	 36.36544205	 23.80283617
2009:270:18:27:45.587	 36.38655367	 23.82235939
2009:270:18:28:18.387	 36.40763169	 23.84185474
2009:270:18:28:51.187	 36.42867623	 23.86132224
2009:270:18:29:23.987	 36.44968741	 23.88076193
2009:270:18:29:56.787	 36.47066534	 23.90017384
2009:270:18:30:29.587	 36.49161014	 23.91955800
2009:270:18:31:02.387	 36.51252191	 23.93891444
2009:270:18:31:35.187	 36.53340078	 23.95824318
2009:270:18:32:07.987	 36.55424686	 23.97754427
2009:270:18:32:40.787	 36.57506024	 23.99681773
2009:270:18:33:13.587	 36.59584104	 24.01606360
2009:270:18:33:46.387	 36.61658936	 24.03528190
2009:270:18:34:19.187	 36.63730531	 24.05447267
