tstart	tstop	obsid	simpos	feps	ccds	vid	clk	power	pitch
2008:307:19:48:15.049	2008:307:21:48:15.049	57530	-99616	6	6	0	0	96.60	155.79
2008:307:21:48:15.049	2008:307:22:52:45.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:45.047	2008:307:22:52:49.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:49.047	2008:307:22:52:53.047	57530	-99616	6	6	0	0	96.60	155.77
2008:307:22:52:53.047	2008:307:22:53:17.047	57530	-99616	0	0	1	0	40.00	155.77
2008:307:22:53:17.047	2008:307:22:54:24.047	57530	-99616	6	6	1	0	118.00	155.77
2008:307:22:54:24.047	2008:307:23:48:15.049	57530	-99616	6	6	1	1	129.00	155.77
2008:307:23:48:15.049	2008:308:01:36:25.047	57530	-99616	6	6	1	1	129.00	155.75
2008:308:01:36:25.047	2008:308:01:39:25.047	57530	-99616	6	6	1	0	118.00	155.75
2008:308:01:39:25.047	2008:308:01:44:15.047	09634	-50505	6	6	1	0	118.00	155.73
2008:308:01:44:15.047	2008:308:01:49:05.047	09634	-50505	6	6	1	0	118.00	151.54
2008:308:01:49:05.047	2008:308:01:53:55.047	09634	-50505	6	6	1	0	118.00	137.00
2008:308:01:53:55.047	2008:308:01:58:45.047	09634	-50505	6	6	1	0	118.00	115.61
2008:308:01:58:45.047	2008:308:02:03:35.047	09634	-50505	6	6	1	0	118.00	94.55
2008:308:02:03:35.047	2008:308:02:07:49.736	09634	-50505	6	6	1	0	118.00	81.31
2008:308:02:07:49.736	2008:308:02:37:54.979	09634	-50505	6	6	1	0	118.00	78.18
2008:308:02:37:54.979	2008:308:02:37:58.979	09634	-50505	6	6	1	0	118.00	78.18
2008:308:02:37:58.979	2008:308:02:38:02.979	09634	-50505	6	6	1	0	118.00	78.18
2008:308:02:38:02.979	2008:308:02:38:26.979	09634	-50505	0	0	1	0	40.00	78.18
2008:308:02:38:26.979	2008:308:02:39:37.979	09634	-50505	5	5	1	0	112.30	78.18
2008:308:02:39:37.979	2008:308:02:45:39.732	09634	-50505	5	5	1	1	113.90	78.18
2008:308:02:45:39.732	2008:308:02:45:45.979	09635	-99612	5	5	1	1	113.90	78.18
2008:308:02:45:45.979	2008:308:02:49:45.984	09635	-99612	5	5	1	1	113.90	78.17
2008:308:02:49:45.984	2008:308:03:27:35.979	09635	-99612	5	5	1	1	113.90	78.17
2008:308:03:27:35.979	2008:308:03:31:35.984	09636	-99612	5	5	1	1	113.90	78.16
2008:308:03:31:35.984	2008:308:04:09:25.979	09636	-99612	5	5	1	1	113.90	78.16
2008:308:04:09:25.979	2008:308:04:13:25.984	09637	-99612	5	5	1	1	113.90	78.15
2008:308:04:13:25.984	2008:308:04:48:15.979	09637	-99612	5	5	1	1	113.90	78.14
2008:308:04:48:15.979	2008:308:04:51:15.979	09637	-99612	5	5	1	0	112.30	78.14
2008:308:04:51:15.979	2008:308:04:56:05.979	09716	-20676	5	5	1	0	112.30	78.13
2008:308:04:56:05.979	2008:308:05:00:05.601	09716	-20676	5	5	1	0	112.30	76.76
2008:308:05:00:05.601	2008:308:05:00:43.601	62813	-20676	5	5	1	0	112.30	76.76
2008:308:05:00:43.601	2008:308:05:00:47.601	62813	-20676	5	5	1	0	112.30	76.76
2008:308:05:00:47.601	2008:308:05:00:51.601	62813	-20676	5	5	1	0	112.30	76.76
