Time	1PDEAAT Prediction (degC)	1PIN1AT Prediction
2008:363:22:40:41.292	 31.03778473	 16.52873327
2008:363:22:41:14.092	 31.05546566	 16.51840654
2008:363:22:41:46.892	 31.07256267	 16.50817604
2008:363:22:42:19.692	 31.08908989	 16.49803971
2008:363:22:42:52.492	 31.10506110	 16.48799554
2008:363:22:43:25.292	 31.12048979	 16.47804158
2008:363:22:43:58.092	 31.13515419	 16.46833166
2008:363:22:44:30.892	 31.13633080	 16.46754186
2008:363:22:45:03.692	 31.15066382	 16.45789943
2008:363:22:45:36.492	 31.16449497	 16.44834105
2008:363:22:46:09.292	 31.17783650	 16.43886495
2008:363:22:46:42.092	 31.19070041	 16.42946939
2008:363:22:47:14.892	 31.20309837	 16.42015265
2008:363:22:47:47.692	 31.21504179	 16.41091308
2008:363:22:48:20.492	 31.22654180	 16.40174905
2008:363:22:48:53.292	 31.23760927	 16.39265898
2008:363:22:49:26.092	 31.24825481	 16.38364133
2008:363:22:49:58.892	 31.25848876	 16.37469458
2008:363:22:50:31.692	 31.26832122	 16.36581726
2008:363:22:51:04.492	 31.27776206	 16.35700793
2008:363:22:51:37.292	 31.28682090	 16.34826519
2008:363:22:52:10.092	 31.29550713	 16.33958766
2008:363:22:52:42.892	 31.30382992	 16.33097401
2008:363:22:53:15.692	 31.31179821	 16.32242292
2008:363:22:53:48.492	 31.31942074	 16.31393312
2008:363:22:54:21.292	 31.32670603	 16.30550337
2008:363:22:54:54.092	 31.33366240	 16.29713245
2008:363:22:55:26.892	 31.34029796	 16.28881917
2008:363:22:55:59.692	 31.34662064	 16.28056237
2008:363:22:56:32.492	 31.35263818	 16.27236092
2008:363:22:57:05.292	 31.35835812	 16.26421371
2008:363:22:57:38.092	 31.36378782	 16.25611967
2008:363:22:58:10.892	 31.36893448	 16.24807773
2008:363:22:58:43.692	 31.37380512	 16.24008688
2008:363:22:59:16.492	 31.37840658	 16.23214610
2008:363:22:59:49.292	 31.38274554	 16.22425442
2008:363:23:00:22.092	 31.38682854	 16.21641087
2008:363:23:00:54.892	 31.39066194	 16.20861453
2008:363:23:01:27.692	 31.39425195	 16.20086448
2008:363:23:02:00.492	 31.39760464	 16.19315982
2008:363:23:02:33.292	 31.40072592	 16.18549969
2008:363:23:03:06.092	 31.40362158	 16.17788324
2008:363:23:03:38.892	 31.40629726	 16.17030964
2008:363:23:04:11.692	 31.40875844	 16.16277807
2008:363:23:04:44.492	 31.41101052	 16.15528775
2008:363:23:05:17.292	 31.41305872	 16.14783790
2008:363:23:05:50.092	 31.41490817	 16.14042777
2008:363:23:06:22.892	 31.41656386	 16.13305662
2008:363:23:06:55.692	 31.41803065	 16.12572374
2008:363:23:07:28.492	 31.41931332	 16.11842841
2008:363:23:08:01.292	 31.42041649	 16.11116996
2008:363:23:08:34.092	 31.42134470	 16.10394771
2008:363:23:09:06.892	 31.42210237	 16.09676100
2008:363:23:09:39.692	 31.42269381	 16.08960921
2008:363:23:10:12.492	 31.42312324	 16.08249171
2008:363:23:10:45.292	 31.42339476	 16.07540788
2008:363:23:11:18.092	 31.42351239	 16.06835713
2008:363:23:11:50.892	 31.42348004	 16.06133889
2008:363:23:12:23.692	 31.42330153	 16.05435257
2008:363:23:12:56.492	 31.42298060	 16.04739764
2008:363:23:13:29.292	 31.42252087	 16.04047354
2008:363:23:14:02.092	 31.42192590	 16.03357975
2008:363:23:14:34.892	 31.42119916	 16.02671576
2008:363:23:15:07.692	 31.42034404	 16.01988105
2008:363:23:15:40.492	 31.41936382	 16.01307514
2008:363:23:16:13.292	 31.41826173	 16.00629755
2008:363:23:16:46.092	 31.41704093	 15.99954779
2008:363:23:17:18.892	 31.41570446	 15.99282543
2008:363:23:17:51.692	 31.41425534	 15.98613000
2008:363:23:18:24.492	 31.41269649	 15.97946107
2008:363:23:18:57.292	 31.41103074	 15.97281822
2008:363:23:19:30.092	 31.40926090	 15.96620102
2008:363:23:20:02.892	 31.40738968	 15.95960906
2008:363:23:20:35.692	 31.40541972	 15.95304196
2008:363:23:21:08.492	 31.40335362	 15.94649931
2008:363:23:21:41.292	 31.40119389	 15.93998074
2008:363:23:22:14.092	 31.39894301	 15.93348587
2008:363:23:22:46.892	 31.39660338	 15.92701435
2008:363:23:23:19.692	 31.39417735	 15.92056582
2008:363:23:23:52.492	 31.39166720	 15.91413993
2008:363:23:24:25.292	 31.38907517	 15.90773635
2008:363:23:24:58.092	 31.38640345	 15.90135474
2008:363:23:25:30.892	 31.38365415	 15.89499478
2008:363:23:26:03.692	 31.38082937	 15.88865615
2008:363:23:26:36.492	 31.37793112	 15.88233855
2008:363:23:27:09.292	 31.37496138	 15.87604168
2008:363:23:27:42.092	 31.37192209	 15.86976523
2008:363:23:28:14.892	 31.36881512	 15.86350893
2008:363:23:28:47.692	 31.36564233	 15.85727249
2008:363:23:29:20.492	 31.36240549	 15.85105564
2008:363:23:29:53.292	 31.35910637	 15.84485811
2008:363:23:30:26.092	 31.35574667	 15.83867963
2008:363:23:30:58.892	 31.35232805	 15.83251996
2008:363:23:31:31.692	 31.34885215	 15.82637883
2008:363:23:32:04.492	 31.34532055	 15.82025601
2008:363:23:32:37.292	 31.34173480	 15.81415126
2008:363:23:33:10.092	 31.33809642	 15.80806434
2008:363:23:33:42.892	 31.33440688	 15.80199502
2008:363:23:34:15.692	 31.33066761	 15.79594308
2008:363:23:34:48.492	 31.32688003	 15.78990831
2008:363:23:35:21.292	 31.32304550	 15.78389048
2008:363:23:35:54.092	 31.31916536	 15.77788939
2008:363:23:36:26.892	 31.31524092	 15.77190484
2008:363:23:36:59.692	 31.31127346	 15.76593663
2008:363:23:37:32.492	 31.30726420	 15.75998455
2008:363:23:38:05.292	 31.30321437	 15.75404843
2008:363:23:38:38.092	 31.29912515	 15.74812808
2008:363:23:39:10.892	 31.29499770	 15.74222331
2008:363:23:39:43.692	 31.29083314	 15.73633394
2008:363:23:40:16.492	 31.28663257	 15.73045981
2008:363:23:40:49.292	 31.28239706	 15.72460073
2008:363:23:41:22.092	 31.27812766	 15.71875655
2008:363:23:41:54.892	 31.27382539	 15.71292711
2008:363:23:42:27.692	 31.26949126	 15.70711223
2008:363:23:43:00.492	 31.26512622	 15.70131178
2008:363:23:43:33.292	 31.26073123	 15.69552559
2008:363:23:44:06.092	 31.25630721	 15.68975351
2008:363:23:44:38.892	 31.25185507	 15.68399541
2008:363:23:45:11.692	 31.24737570	 15.67825114
2008:363:23:45:44.492	 31.24286994	 15.67252055
2008:363:23:46:17.292	 31.23833864	 15.66680352
2008:363:23:46:50.092	 31.23378261	 15.66109991
2008:363:23:47:22.892	 31.22920266	 15.65540958
2008:363:23:47:55.692	 31.22459956	 15.64973242
2008:363:23:48:28.492	 31.21997408	 15.64406830
2008:363:23:49:01.292	 31.21532695	 15.63841709
2008:363:23:49:34.092	 31.21065890	 15.63277868
2008:363:23:50:06.892	 31.20597063	 15.62715294
2008:363:23:50:39.692	 31.20126284	 15.62153977
2008:363:23:51:12.492	 31.19653619	 15.61593906
2008:363:23:51:45.292	 31.19179135	 15.61035068
2008:363:23:52:18.092	 31.18702894	 15.60477455
2008:363:23:52:50.892	 31.18224960	 15.59921054
2008:363:23:53:23.692	 31.17745392	 15.59365856
2008:363:23:53:56.492	 31.17264252	 15.58811851
2008:363:23:54:29.292	 31.16781595	 15.58259029
2008:363:23:55:02.092	 31.16297480	 15.57707380
2008:363:23:55:34.892	 31.15811961	 15.57156895
2008:363:23:56:07.692	 31.15325091	 15.56607565
2008:363:23:56:40.492	 31.14836924	 15.56059380
2008:363:23:57:13.292	 31.14347510	 15.55512332
2008:363:23:57:46.092	 31.13856900	 15.54966412
2008:363:23:58:18.892	 31.13365141	 15.54421612
2008:363:23:58:51.692	 31.12872282	 15.53877922
2008:363:23:59:24.492	 31.12378368	 15.53335336
